Class,IoU,Dice
flat,0.7406063506790355,0.8509751218477565
human,0.11167910889915866,0.20091968627484422
vehicle,0.20889449616886188,0.3455959090406561
construction,0.26353860444622246,0.4171437319269321
object,0.017465335903391655,0.03433106816928452
nature,0.06323845678095093,0.11895441963679716
sky,0.2800843466581829,0.437602955444893
void,0.5180623843022282,0.6825310865473473
