Class,IoU,Dice
flat,0.9081552081001915,0.9518672320207896
human,0.3623038550003332,0.5318987444254785
vehicle,0.694975700414635,0.8200420811279193
construction,0.7225559304217744,0.838934652467109
object,0.17838423123510397,0.3027607235513216
nature,0.7865761535894861,0.8805403027563561
sky,0.8234938084726647,0.9032043921908489
void,0.6562179718949254,0.7924294785234434
